,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
12,Bangladesh,BGD,WesternDem,1796.64,0.57499999,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063,False
112,Mongolia,MNG,EastEurope,6277.8999,0.73299998,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,NaN,False
145,St Kitts and Nevis,KNA,Caribbean,11237.75,0.76200002,NaN,NaN,NaN,2.784240007400513,82.93193817138672,True
113,Moldova,MDA,NorthAfrica,4207.8701,0.70099998,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281,False
59,France (1963-),FRA,SouthAsia,34007.898,0.89399999,64.02799987792969,2.200000047683716,4.381113052368164,5.492990016937256,99.44432830810548,False
19,Botswana,BWA,SouthEastAsia,12770.73,0.69800001,NaN,5.099999904632568,3.523580312728882,NaN,NaN,False
124,Nicaragua,NIC,SubSaharian,2527.1001,0.64200002,5.946000099182129,8.100000381469727,2.655974626541138,NaN,NaN,False
186,United States,USA,SouthAsia,47769.699,0.91799998,318.7890014648438,1.5,4.564571380615234,5.380780220031738,90.46228790283205,False
114,Montenegro,MNE,NorthAfrica,14538.52,0.80400002,0.621999979019165,3.599999904632568,4.25305986404419,NaN,NaN,False
41,"Congo, Democratic Republic",COD,SouthEastAsia,324.16,0.42500001,NaN,7.099999904632568,2.957446813583374,2.245349884033203,NaN,False
66,Kiribati,KIR,Pacific,1532.65,0.58600003,0.1070000007748604,NaN,NaN,NaN,NaN,True
179,Tuvalu,TUV,Pacific,3174.05,NaN,0.0109999999403954,NaN,NaN,NaN,69.80497741699219,True
77,Indonesia,IDN,LatAm,4780.0098,0.68599999,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125,False
11,Bahrain,BHR,EastAsia,22498.48,0.82300001,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562,False
28,Cambodia,KHM,LatAm,1927.0601,0.55800003,14.60499954223633,7.5,3.17626953125,1.901970028877258,NaN,False
27,Belarus,BLR,NorthAfrica,17780.641,0.79799998,9.468000411987305,3.400000095367432,NaN,4.990439891815186,99.46544647216795,True
121,Netherlands,NLD,SouthAsia,42258.352,0.92299998,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876,False
